OCCUPANCY_DATE,SHELTER_NAME,SECTOR,OCCUPANCY,CAPACITY
2018-01-10,Fort York Residence,Men,71,74
2018-01-04,Salvation Army - Evangeline Res,Women,9,9
2018-01-04,Salvation Army - Evangeline Res,Women,90,90
2018-01-04,Salvation Army - Florence Booth,Women,4,4
2018-01-04,Salvation Army - Florence Booth,Women,60,60
2018-01-04,Salvation Army - Gateway,Men,12,12
2018-01-04,Salvation Army - Gateway,Men,108,108
2018-01-04,Salvation Army - Hope,Men,0,0
2018-01-04,Salvation Army - Hope,Men,0,0
2018-01-04,Salvation Army - Maxwell Meighen,Men,44,45
2018-01-04,Salvation Army - Maxwell Meighen,Men,18,18
2018-01-04,Salvation Army - Maxwell Meighen,Men,269,270
2018-01-04,Salvation Army - Maxwell Meighen,Men,10,10
2018-01-04,Scott Mission Men's Ministry,Men,19,19
2018-01-04,Scott Mission Men's Ministry,Men,53,53
2018-01-04,Toronto Community Hostel,Co-ed,11,13
2018-01-04,Toronto Community Hostel,Families,11,14
2018-01-04,Turning Point Youth Services,Youth,35,35
2018-01-04,Univ Settlement House - OOTC,Co-ed,0,85
2018-01-04,Red Door Queen Street,Families,99,98
2018-01-04,YMCA House,Youth,40,40
2018-01-04,YMCA Sprott House,Youth,24,25
2018-01-04,YWCA - First Stop Woodlawn,Women,28,28
2018-01-04,YWCA - First Stop Woodlawn,Youth,27,28
2018-01-04,Youth Without Shelter,Youth,33,33
2018-01-04,Youth Without Shelter,Youth,19,20
2018-01-05,COSTI Reception Centre,Families,308,330
2018-01-05,COSTI Reception Centre,Co-ed,13,25
2018-01-05,COSTI Reception Centre,Families,324,400
2018-01-05,COSTI Reception Centre,Co-ed,16,16
2018-01-05,Christie Ossington Men's Hostel,Men,5,17
2018-01-05,Christie Ossington Men's Hostel,Men,63,63
2018-01-05,Christie Ossington Men's Hostel,Men,30,30
2018-01-05,Christie Refugee Welcome Centre,Families,68,76
2018-01-05,Birchmount Residence,Men,59,60
2018-01-05,Birkdale Residence,Families,177,160
2018-01-05,Birkdale Residence,Families,173,205
2018-01-05,Birkdale Residence,Men,20,36
2018-01-05,Birkdale Residence,Co-ed,1,2
2018-01-05,Downsview Dells,Men,27,28
2018-01-05,Family Residence,Co-ed,0,0
2018-01-05,Family Residence,Families,218,252
2018-01-05,Family Residence,Families,52,48
2018-01-05,Family Residence,Families,182,110
2018-01-05,Family Residence,Families,52,50
2018-01-05,Family Residence,Families,121,125
2018-01-05,Fort York Residence,Co-ed,21,21
2018-01-05,Fort York Residence,Men,2,21
2018-01-05,Fort York Residence,Men,72,74
2018-01-05,Fort York Residence,Men,22,24
2018-01-05,Robertson House,Families,106,90
2018-01-05,S2H Assessment and Referral Ctre,Men,2,2
2018-01-05,S2H Assessment and Referral Ctre,Co-ed,38,40
2018-01-05,Seaton House,Men,27,28
2018-01-05,Seaton House,Men,27,27
2018-01-05,Seaton House,Men,79,80
2018-01-05,Seaton House,Men,61,64
2018-01-05,Seaton House,Men,232,240
2018-01-05,Seaton House,Men,25,42
2018-01-05,Seaton House,Men,100,100
2018-01-10,Robertson House,Families,108,90
2018-01-05,Women's Residence,Women,45,46
2018-01-05,Women's Residence,Women,10,10
2018-01-05,Women's Residence,Women,12,13
2018-01-05,Women's Residence,Women,96,103
2018-01-05,Cornerstone Place,Men,56,56
2018-01-05,Covenant House,Youth,2,2
2018-01-05,Covenant House,Youth,90,94
2018-01-05,Covenant House,Youth,28,28
2018-01-05,Dixon Hall - Heyworth House,Co-ed,9,9
2018-01-05,Dixon Hall - Heyworth House,Co-ed,74,74
2018-01-05,Dixon Hall - Schoolhouse,Men,42,42
2018-01-05,Eva's Phoenix,Youth,49,50
2018-01-05,Eva's Place,Youth,39,40
2018-01-05,Eva's Satellite,Youth,31,32
2018-01-05,Eva's Satellite,Youth,1,1
2018-01-05,Fife House Transitional Program,Co-ed,5,5
2018-01-05,Fife House Transitional Program,Co-ed,11,11
2018-01-05,FV Women's Transition to Housing,Women,22,23
2018-01-05,FV Women's Transition to Housing,Women,37,37
2018-01-05,Fred Victor Women's Hostel,Women,4,4
2018-01-05,Fred Victor Women's Hostel,Women,41,42
2018-01-05,"Fred Victor, BUS",Co-ed,9,10
2018-01-05,"Fred Victor, BUS",Co-ed,60,60
2018-01-05,Good Shepherd Centre,Men,5,5
2018-01-05,Good Shepherd Centre,Men,68,70
2018-01-05,Good Shepherd Centre,Men,25,25
2018-01-05,HFS - Kennedy Shelter,Women,88,90
2018-01-05,HFS - Savard's Womens' Shelter,Women,26,30
2018-01-05,HFS - Scarborough Shelter,Co-ed,67,67
2018-01-05,HFS - Strachan House,Co-ed,5,5
2018-01-05,HFS - Strachan House,Co-ed,82,83
2018-01-05,Kennedy House Youth shelter,Youth,40,40
2018-01-05,Na-Me-Res,Men,71,71
2018-01-05,Na-Me-Res,Men,20,20
2018-01-05,Eagles Nest Transition House,Youth,11,12
2018-01-05,SVDP - Amelie House,Women,20,22
2018-01-05,SVDP - Elisa House,Women,40,40
2018-01-05,SVDP - Mary's Home,Women,6,6
2018-01-05,SVDP - Mary's Home,Women,38,38
2018-01-05,SVDP - St. Clare's Residence,Women,30,30
2018-01-05,St. Simon's Shelter,Men,5,5
2018-01-05,St. Simon's Shelter,Men,57,57
2018-01-05,Street Haven,Women,46,46
2018-01-05,Street Haven,Women,4,4
2018-01-05,Sojourn House,Families,90,76
2018-01-06,Family Residence,Families,52,50
2018-01-05,Sojourn House,Co-ed,85,85
2018-01-05,Salvation Army - Evangeline Res,Women,9,9
2018-01-05,Salvation Army - Evangeline Res,Women,89,90
2018-01-05,Salvation Army - Florence Booth,Women,4,4
2018-01-05,Salvation Army - Florence Booth,Women,59,60
2018-01-05,Salvation Army - Gateway,Men,12,12
2018-01-05,Salvation Army - Gateway,Men,108,108
2018-01-05,Salvation Army - Hope,Men,0,0
2018-01-05,Salvation Army - Hope,Men,0,0
2018-01-05,Salvation Army - Maxwell Meighen,Men,45,45
2018-01-05,Salvation Army - Maxwell Meighen,Men,18,18
2018-01-05,Salvation Army - Maxwell Meighen,Men,270,270
2018-01-05,Salvation Army - Maxwell Meighen,Men,9,10
2018-01-05,Scott Mission Men's Ministry,Men,19,19
2018-01-05,Scott Mission Men's Ministry,Men,53,53
2018-01-05,Toronto Community Hostel,Co-ed,12,13
2018-01-05,Toronto Community Hostel,Families,11,14
2018-01-05,Turning Point Youth Services,Youth,35,35
2018-01-05,Univ Settlement House - OOTC,Co-ed,74,85
2018-01-05,Red Door Queen Street,Families,99,98
2018-01-05,YMCA House,Youth,40,40
2018-01-05,YMCA Sprott House,Youth,24,25
2018-01-05,YWCA - First Stop Woodlawn,Women,28,28
2018-01-05,YWCA - First Stop Woodlawn,Youth,27,28
2018-01-05,Youth Without Shelter,Youth,33,33
2018-01-05,Youth Without Shelter,Youth,19,20
2018-01-06,COSTI Reception Centre,Families,308,330
2018-01-06,COSTI Reception Centre,Co-ed,13,25
2018-01-06,COSTI Reception Centre,Families,324,400
2018-01-06,COSTI Reception Centre,Co-ed,16,16
2018-01-06,Christie Ossington Men's Hostel,Men,4,17
